file,start,base_mad,base_rmse,base_bias,base_w5,base_w10,base_r,acc_tp,acc_fp,acc_fn,acc_n_true,acc_n_pred,acc_dice,acc_tp_eb,acc_fp_eb,acc_fn_eb,dec_tp,dec_fp,dec_fn,dec_n_true,dec_n_pred,dec_dice,dec_tp_eb,dec_fp_eb,dec_fn_eb
train09.csv,9600,2.305314808627166,2.5221434678227563,-1.7799648777401005,1.0,1.0,,0,0,0,0,0,,0,0,0,0,0,1,1,0,0.0,0,0,1
train10.csv,0,2.2119217233599886,2.7631396404650315,-1.486211827357875,0.9504166666666667,1.0,,0,0,0,0,0,,0,0,0,0,0,1,1,0,0.0,1,0,0
train10.csv,4800,2.3732126506092897,3.34426953837876,-1.8681575835617763,0.824375,1.0,,0,0,0,0,0,,0,0,0,0,0,5,5,0,0.0,0,0,5
train10.csv,9600,4.635665526383307,5.0609211334925455,-4.004378125017532,0.35854166666666665,1.0,,0,0,0,0,0,,0,0,0,1,1,10,11,2,0.092317420170724,2,1,9
train10.csv,14400,3.4014357543511893,4.587676918197935,2.006483478909282,0.7497916666666666,0.9614583333333333,,0,0,0,0,0,,0,0,0,2,0,2,4,2,0.5498281786941581,0,0,4
train11.csv,0,2.480395033897546,3.6814957068716505,1.691062557488898,0.8579166666666667,0.9610416666666667,,0,0,1,1,0,0.0,0,1,1,5,0,0,5,5,0.9114611624117328,5,0,0
train11.csv,4800,10.516602463905064,11.533902268564912,5.215647467336016,0.06708333333333333,0.6172916666666667,,3,0,4,7,3,0.38242574257425743,6,0,1,0,3,0,0,3,0.0,0,1,0
train11.csv,9600,20.6067218811896,21.570501910826547,20.6067218811896,0.075,0.10583333333333333,,1,0,8,9,1,0.05221174764321972,9,1,0,1,8,0,1,9,0.25123818099954975,1,0,0
train11.csv,14400,8.44528049336605,10.456572045655761,-5.598830860825163,0.46770833333333334,0.525,,6,4,0,6,10,0.6636212624584718,5,1,1,2,0,5,7,2,0.26490066225165565,5,0,2
train11.csv,19200,2.6748722324779775,3.057176202859173,-2.3646154855261483,0.9633333333333334,1.0,,1,0,0,1,1,0.9238095238095239,1,0,0,0,0,0,0,0,,0,0,0
train11.csv,24000,2.453795491372673,3.3259745095134354,-1.1536791532706423,0.94625,0.9741666666666666,,9,2,0,9,11,0.9354197714853453,9,2,0,0,0,0,0,0,,0,0,0
train12.csv,0,1.5251321212617848,1.7270645802595535,0.527116987235995,1.0,1.0,,0,0,0,0,0,,0,0,0,0,0,1,1,0,0.0,1,0,0
train12.csv,4800,1.0864388598546821,1.260309418771187,0.4880668586192589,1.0,1.0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0
