horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
10,resplit_55,F2_hybrid_C0.1,0.6893,0.021,0.021,0.14,0.0,1.0
10,resplit_55,A3_prob_avg_a0.25,0.688,0.0197,0.0197,0.399,-0.0014,0.91
10,resplit_55,A3_prob_avg_a0.5,0.6939,0.0256,0.0256,0.091,0.0046,0.147
10,resplit_55,A3_prob_avg_a0.75,0.6833,0.015,0.015,0.019,-0.006,0.465
10,resplit_55,A3_prob_avg_selected,0.6959,0.0276,0.0276,0.134,0.0066,0.246
10,resplit_55,A4_logit_unconstrained,0.6895,0.0212,0.0212,0.173,0.0001,0.9
10,resplit_55,A4_logit_nonneg,0.6894,0.0212,0.0212,0.174,0.0001,0.914
10,resplit_55,A4_logit_sum_to_one,0.6922,0.0239,0.0239,0.185,0.0029,0.558
10,resplit_55,A4_logit_equal,0.6905,0.0222,0.0222,0.167,0.0012,0.623
10,resplit_55,F1_unregularized,0.6893,0.021,0.021,0.175,-0.0,0.997
10,resplit_55,F3_l1,0.6819,0.0136,0.0136,0.154,-0.0074,0.178
10,resplit_55,F7_interaction,0.6906,0.0224,0.0224,0.117,0.0013,0.31
10,resplit_55,P3_categorical_parity,0.6907,0.0224,0.0224,0.022,0.0014,0.93
20,CANONICAL,B0_prevalence,0.4986,-0.1028,-0.1028,0.011,-0.1495,0.0
20,CANONICAL,B1_parity_only,0.5755,-0.026,-0.026,0.54,-0.0726,0.03
20,CANONICAL,B2_m3_only,0.6015,0.0,0.0,1.0,-0.0467,0.005
20,CANONICAL,F2_hybrid_C0.1,0.6481,0.0467,0.0467,0.005,0.0,1.0
20,CANONICAL,A3_prob_avg_a0.25,0.6614,0.0599,0.0599,0.008,0.0133,0.186
20,CANONICAL,A3_prob_avg_a0.5,0.653,0.0515,0.0515,0.0,0.0049,0.433
20,CANONICAL,A3_prob_avg_a0.75,0.6278,0.0263,0.0263,0.001,-0.0204,0.097
20,CANONICAL,A3_prob_avg_selected,0.6675,0.066,0.066,0.0,0.0193,0.0
20,CANONICAL,A4_logit_unconstrained,0.65,0.0485,0.0485,0.007,0.0018,0.381
20,CANONICAL,A4_logit_nonneg,0.6499,0.0485,0.0485,0.008,0.0018,0.391
